"SubmissionID","StudentID","project","course","sem","report"
2145,"S8583963","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2162,"S8584233","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1901,"S8584829","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2183,"S8584921","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1999,"S8584975","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2182,"S8585269","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1662,"S8585427","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1645,"S8585441","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1916,"S8585829","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1704,"S8585875","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2155,"S8585881","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1724,"S8585907","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1663,"S8586021","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1782,"S8586041","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1826,"S8586065","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1572,"S8586205","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2080,"S8586447","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2227,"S8586471","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2015,"S8586735","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1946,"S8586831","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1887,"S8586867","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
3406,"S8587341","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1613,"S8587345","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2019,"S8587441","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1878,"S8587563","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1769,"S8587675","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1579,"S8587929","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1891,"S8588589","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1664,"S8589029","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1802,"S8589495","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1750,"S8592817","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2095,"S8593123","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1681,"S8593273","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1526,"S8593321","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1550,"S8597563","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2138,"S8600971","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2133,"S8602427","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1860,"S8602433","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1836,"S8604007","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1515,"S8605831","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2068,"S8605991","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1490,"S8606087","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2097,"S8606245","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1961,"S8606297","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2137,"S8606739","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1874,"S8606917","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1532,"S8606925","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1575,"S8607105","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1982,"S8607513","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1555,"S8607887","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1595,"S8607923","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1516,"S8608219","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1888,"S8609083","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1770,"S8610101","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1528,"S8610381","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1584,"S8611131","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2140,"S8612109","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1748,"S8612111","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1859,"S8612395","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1976,"S8612937","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1831,"S8613421","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2132,"S8613989","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1657,"S8619553","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1742,"S8620197","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1513,"S8623875","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1966,"S8623891","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2209,"S8623949","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2030,"S8624017","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1500,"S8624045","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1608,"S8624059","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2282,"S8624189","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1597,"S8624225","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2285,"S8624271","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2280,"S8624349","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1852,"S8625845","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1545,"S8626437","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1908,"S8626471","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2098,"S8626559","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1757,"S8626611","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2322,"S8626635","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2191,"S8626807","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1760,"S8627133","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2147,"S8627229","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1658,"S8627489","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1997,"S8627509","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2270,"S8627535","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1795,"S8627675","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1667,"S8627685","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2295,"S8629983","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2252,"S8630007","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2112,"S8630075","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1524,"S8630199","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1938,"S8630317","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1578,"S8630353","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1487,"S8630445","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1600,"S8630483","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1838,"S8630553","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2106,"S8630591","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1590,"S8630711","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1504,"S8630759","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1686,"S8630877","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2046,"S8632031","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1596,"S8632183","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1975,"S8632803","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1508,"S8632837","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1824,"S8632937","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1568,"S8632951","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1604,"S8633021","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1790,"S8633051","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2084,"S8633149","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2161,"S8633309","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1883,"S8633369","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1534,"S8633391","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1759,"S8633423","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2298,"S8633475","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2171,"S8633479","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1990,"S8633593","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2008,"S8633601","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2260,"S8633611","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1691,"S8633665","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1729,"S8633727","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1685,"S8633755","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2200,"S8633793","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2115,"S8633799","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1744,"S8633801","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1587,"S8633847","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2272,"S8633855","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2348,"S8633937","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1746,"S8633975","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2056,"S8634047","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1844,"S8634197","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1665,"S8634227","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1687,"S8634279","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2117,"S8634299","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2186,"S8634385","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2668,"S8634443","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1952,"S8634507","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1560,"S8634585","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2290,"S8634589","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1854,"S8634637","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1601,"S8634643","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1543,"S8634657","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2666,"S8634701","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2202,"S8634727","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1688,"S8634741","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2211,"S8634747","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2037,"S8634773","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1576,"S8634861","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2226,"S8634901","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2004,"S8634913","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1777,"S8634915","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2184,"S8634965","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2141,"S8635149","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2069,"S8635201","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1652,"S8635227","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1943,"S8635255","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1519,"S8635259","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2304,"S8635299","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2040,"S8635331","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2142,"S8635365","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1942,"S8635437","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2287,"S8635441","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2085,"S8635547","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1661,"S8635617","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2005,"S8635657","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2185,"S8635729","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2207,"S8635829","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2349,"S8635833","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2102,"S8635923","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1666,"S8635941","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1767,"S8635957","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1679,"S8635963","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2158,"S8635969","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1497,"S8635971","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1915,"S8635997","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2286,"S8636009","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2100,"S8636041","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1986,"S8636079","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2087,"S8636081","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1586,"S8636083","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1896,"S8636131","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2149,"S8636229","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1958,"S8636273","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1715,"S8636275","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1695,"S8636319","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2061,"S8636349","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2300,"S8636353","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1818,"S8636361","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1913,"S8636437","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1917,"S8636443","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1841,"S8636447","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1829,"S8636535","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1907,"S8636601","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2205,"S8636603","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2275,"S8636607","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2341,"S8636633","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1491,"S8636695","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2093,"S8636721","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1486,"S8636723","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2088,"S8636749","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1655,"S8636827","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1563,"S8636835","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1675,"S8636887","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1863,"S8636913","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1828,"S8636999","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2665,"S8637051","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1849,"S8637133","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1684,"S8637181","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1540,"S8637209","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1722,"S8637219","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1537,"S8637251","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2667,"S8637257","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2233,"S8637271","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1505,"S8637287","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2179,"S8637291","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2243,"S8637313","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1788,"S8637337","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1598,"S8637341","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
2073,"S8637347","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1962,"S8637357","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1581,"S8637361","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1830,"S8637421","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1948,"S8637447","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1786,"S8637475","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
1983,"S8637489","BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0"
